Ensembl_Gene_ID	Gene_Symbol	log2FC_DeSeq	p_DeSeq	padj_DeSeq	log2FC_edge	p_edge	padj_edge
ENSG00000164136	IL15	2,2163415136	8,74E-47	1,95E-44	2,2652411451	6,11E-47	1,90E-44
ENSG00000178695	KCTD12	-0,6935215934	3,44E-20	3,25E-18	-0,7539496907	7,25E-23	9,98E-21
ENSG00000176907	C8orf4	1,7175766033	1,63E-109	9,77E-107	1,6829692594	1,49E-81	8,50E-79
ENSG00000163734	CXCL3	2,6495490872	4,88E-25	5,74E-23	3,0321033172	4,77E-32	9,58E-30
ENSG00000185022	MAFF	1,3617906703	1,28E-48	2,95E-46	1,3309075932	1,13E-46	3,49E-44
ENSG00000163840	DTX3L	1,2439149758	1,56E-30	2,29E-28	1,2171662272	6,27E-38	1,55E-35
ENSG00000240065	PSMB9	2,1570071894	4,79E-32	7,47E-30	2,2505005445	4,07E-35	8,98E-33
ENSG00000204642	HLA-F	1,9629975205	4,12E-19	3,68E-17	2,1177972557	2,64E-22	3,53E-20
ENSG00000125347	IRF1	1,4813892525	1,48E-69	5,29E-67	1,4482064145	8,65E-58	3,37E-55
ENSG00000162772	ATF3	1,4905287068	5,77E-26	7,17E-24	1,4948349223	4,86E-33	1,00E-30
ENSG00000027697	IFNGR1	1,0666463595	1,10E-52	2,91E-50	1,0231240904	2,49E-36	5,76E-34
ENSG00000171408	PDE7B	-1,0956429052	2,24E-27	2,91E-25	-1,169170306	1,73E-29	3,09E-27
ENSG00000168685	IL7R	2,1261130305	1,02E-73	3,87E-71	2,125882044	2,32E-96	1,55E-93
ENSG00000177409	SAMD9L	1,2326987736	2,85E-22	2,97E-20	1,2162404685	5,73E-32	1,14E-29
ENSG00000136560	TANK	1,1986001814	4,12E-86	2,07E-83	1,1525846708	7,03E-51	2,34E-48
ENSG00000109320	NFKB1	1,5861262775	6,74E-117	4,57E-114	1,5459523059	6,58E-87	3,91E-84
ENSG00000139263	LRIG3	1,2583662419	1,70E-171	1,77E-168	1,2088786453	2,15E-62	8,69E-60
ENSG00000161940	BCL6B	1,1857031798	3,12E-137	2,56E-134	1,1369814172	6,66E-51	2,24E-48
ENSG00000108984	MAP2K6	-1,2988836519	1,20E-35	2,15E-33	-1,378263906	1,92E-39	4,90E-37
ENSG00000132109	TRIM21	1,0996995418	1,04E-45	2,24E-43	1,0587983659	4,22E-36	9,62E-34
ENSG00000136490	LIMD2	1,1691626468	2,97E-28	4,05E-26	1,1414650881	2,93E-31	5,74E-29
ENSG00000169403	PTAFR	1,9925161247	1,55E-18	1,34E-16	2,166927154	6,16E-21	7,66E-19
ENSG00000128274	A4GALT	0,9759861717	6,60E-15	4,58E-13	0,9518357944	6,31E-14	5,03E-12
ENSG00000083799	CYLD	1,2416212771	1,31E-36	2,37E-34	1,210521761	2,05E-42	5,70E-40
ENSG00000168310	IRF2	1,2611815763	1,05E-61	3,37E-59	1,2216681724	4,91E-47	1,54E-44
