Locus	FPKM(9DPA)	FPKM(Control)	Fold_Change	P-value	LOG_FC
c54210_g2	7,9360994287	29,8466539661	0,2658957831	4,44E-124	-0,5752885502
c60444_g3	1,6855612131	6,2273670942	0,2706699617	3,08E-09	-0,5675599384
c48917_g1	3,7380516075	11,8014871377	0,3167441157	1,61E-41	-0,4992914444
c57431_g3	1,8993548229	7,6624983674	0,2478767018	1,06E-10	-0,6057642911
c39207_g1	9,4002943775	50,0986318378	0,1876357504	3,08E-184	-0,7266844116
c48764_g1	26,7114354594	131,2947538228	0,2034463273	0	-0,6915501458
c46495_g1	0,7387385774	3,5554053937	0,207779	4,61E-11	-0,6823983481
c38629_g1	0,7680646107	4,6349878931	0,1657101655	3,18E-19	-0,780650849
c58748_g2	11,4805447073	57,0097973229	0,2013784515	1,13E-168	-0,6959870029
c61856_g3	2,4374366881	7,9237179144	0,3076127538	4,10E-27	-0,5119956624
c56059_g1	1,6024926987	5,5659910168	0,2879078845	3,03E-24	-0,5407464416
c54944_g1	2,3717571432	10,913187265	0,2173294644	1,72E-101	-0,6628813903
c52972_g1	2,6158203131	11,7919146709	0,221831686	2,17E-60	-0,6539764199
c59624_g3	0,278754233	4,8139406631	0,057905623	4,13E-49	-1,2372792618
c50822_g5	0,9664744269	3,2833791787	0,2943535834	4,14E-05	-0,5311306728
c47729_g2	2,397835287	10,78433259	0,2223443377	2,74E-26	-0,652973926
c55854_g1	1,0573567577	3,9872658846	0,2651834085	1,33E-21	-0,5764536516
c54380_g1	2,6945310547	11,57460768	0,2327967504	2,10E-28	-0,6330230863
c19085_g1	1,4507396588	4,654752272	0,3116685001	8,23E-12	-0,5063070891
c53055_g1	2,8316812463	21,2708871917	0,1331247362	9,71E-179	-0,8757412398
c50058_g3	3,772431101	32,4784040188	0,1161519851	1,14E-153	-0,9349733633
c55055_g2	20,1670291364	67,7199652792	0,2978003467	5,10E-104	-0,526074801
c58234_g1	7,8202915627	35,5477449357	0,2199940271	0	-0,6575891102
c47465_g1	1,9859988922	7,1967828417	0,2759564844	2,62E-29	-0,5591593964
c61856_g4	3,2316326184	11,4609184994	0,2819697757	9,70E-28	-0,5497974412
c33105_g2	1,1429745837	9,3191968965	0,1226473264	1,15E-60	-0,9113419145
c36435_g1	5,8762977649	60,5140504637	0,0971063368	1,72E-149	-1,0127524288
c39689_g1	1,2113118683	4,9896305775	0,242765842	4,49E-11	-0,6148124201
c50745_g2	9,7518865844	36,6965620837	0,2657438744	2,81E-140	-0,5755367375
c42132_g1	4,2444119072	13,5463818174	0,3133243965	1,09E-37	-0,5040057882
c49761_g2	1,5461761577	8,7641579792	0,1764203887	3,02E-40	-0,7534512253
